아이디,다음 대사 아이디,화자,대사,CG 이미지,입력 딜레이
id,next_id,name,line_desc,CG,delay
int,int,string,string,string,float
100001,100002,Player,(테스트) 정말 끔찍한 호텔이군,,0.5
100002,100003,Player,(테스트) 하지만 나 같은 놈이 일하기에는 좋은 호텔이야,CGImage/ContactCG,0.5
100003,,Player,(테스트) 망할 엘리베이터만 제대로 작동되면 더 좋을테지만,,0.5
100004,100005,Player,(테스트) 여보세요?,,0.5
100005,,Host,(테스트) 지배인일세. 야간 경비 근무로 장기 계약할 생각 없나?,,0.5
100006,100007,,,CGImage/CG_Tutorial01,0.5
100007,,,,CGImage/CG_Tutorial02,0.5
100008,,,,CGImage/CG_TutorialShop,0.5
100009,,,,CGImage/CG_TutorialStorage,0.5
100010,100011,???,크루거 호텔에 오신 것을 환영합니다.,,0.5
100011,100012,???,저희 호텔은 투숙객 여러분에게 보다 나은 서비스를 제공하기 위해 노력하고 있습니다.,,0.5
100012,100013,???,룸 클리어 서비스는 언제나 무료입니다.,,0.5
100013,,,외선 전화가 잘못 들어온 것 같다,,0.5
100014,100015,연필로 쓰인 글씨,안녕하세요 저는 유사초등학교 1학년 3반 김재민이라고 합니다.,,0.5
100015,100016,연필로 쓰인 글씨,이렇개 편지를 쓴 이유는 다르미 아니라 저히 아빠가 해밀턴 사장니믈 위해 일을 하러 가션는데 아직도 돌아오지 않으셔서 입니다.,,0.5
100016,100017,연필로 쓰인 글씨,아빠는 크루거 호탤에 거북이 고기를 낫픔하러 가셨는데 아직도 전화를 받지 않습니다.,,0.5
100017,,연필로 쓰인 글씨,아빠가 보고 싶어요.,,0.5
100018,100019,고상한 필체로 쓰인 글씨,미스터 해밀턴. 당신에게 다음과 같은 소식을 전하게 되어 정말 유감입니다.,,0.5
100019,100020,고상한 필체로 쓰인 글씨,현재 미스터 해밀턴께서 크루거 호텔을 담보로 대출한 원금의 만기일이 9개월이 지났습니다.,,0.5
100020,100021,고상한 필체로 쓰인 글씨,미스터 해밀턴의 채무와 자산 상황을 고려해봤을 때 저희 평가원은 더 이상 귀하의 체납을 방치할 수 없다는 결론을 내렸습니다.,,0.5
100021,100022,고상한 필체로 쓰인 글씨,20xx년 x월 x일. 현시간부로 계약에 따라 크루거 호텔은 평가원의 재산임을 고지합니다.,,0.5
100022,100023,고상한 필체로 쓰인 글씨,ps. 부디 더 이상 현실에 없는 바다 거북이 고기를 찾지 마세요.,,0.5
100023,,고상한 필체로 쓰인 글씨,크루지아 밀레니엄 신용평가원,,0.5
100024,,피로 물든 글씨,그날 먹었던 바다 거북이 스프를 나는 결코 잊지 못한다. 반드시…,,0.5
100025,100026,신문 기사,前 크루거 호텔 오너@ 자신의 호텔에서 극단적 선택,,0.5
100026,100027,신문 기사,지난 20xx년 x월 x일. 오후 20시 경 크루거 호텔을 설립한,,0.5
100027,100028,신문 기사,영국인 사업가 벤 해밀턴(49세) 씨가 본인의 사업장에서 스스로,,0.5
100028,100029,신문 기사,목숨을 끊은 것으로 밝혀졌다. 사인은 비타민 중독으로@,,0.5
100029,100030,신문 기사,육식동물의 간을 먹은 것으로 추정된다.,,0.5
100030,,신문 기사,수사 당국은 해밀턴 씨의 부채 상황을 설명하며 타살 가능성은 낮다고 발표했다.,,0.5
100031,100032,,문이 열리지 않는다.,,0.5
